Age	Fragmentation
0	0.390019097
1	0.390019097
2	0.451370613
3	0.451276905
4	0.450635508
5	0.462296319
6	0.455377551
7	0.456101011
8	0.457427958
9	0.471878061
10	0.471818565
11	0.472092834
12	0.491021922
13	0.503465119
14	0.513732777
15	0.514107911
16	0.504454352
17	0.504431354
18	0.504486085
19	0.504452044
20	0.499900375
21	0.499437412
22	0.499518212
23	0.499468683
24	0.499342603
25	0.498899203
26	0.498704412
27	0.498671438
28	0.511151784
29	0.511411975
30	0.495216833
31	0.49908992
32	0.50056441
33	0.501669088
34	0.502249921
35	0.503005105
36	0.511397517
37	0.514286919
38	0.515820595
39	0.517600388
40	0.518784635
41	0.520547858
42	0.521662459
43	0.521948138
44	0.522097081
45	0.522220792
46	0.522462222
47	0.522978858
48	0.523753689
49	0.521844409
50	0.521542365
51	0.527391223
52	0.527552801
53	0.527676321
54	0.52768445
55	0.527654922
56	0.536111742
57	0.535040363
58	0.532740141
59	0.532468583
60	0.531692225
61	0.53479689
62	0.53519875
63	0.535512164
64	0.535821435
65	0.53376153
66	0.533163123
67	0.533589932
68	0.537438526
69	0.538814495
70	0.539581963
71	0.543123084
72	0.543398635
73	0.543349118
74	0.543382893
75	0.544245874
76	0.543441653
77	0.53878069
78	0.535073748
79	0.534373582
80	0.533803129
81	0.531563144
82	0.529626462
83	0.529229458
84	0.528635507
85	0.52573418
86	0.516348709
87	0.516673003
88	0.515809698
89	0.514559122
90	0.517379917
91	0.521695946
92	0.520482294
93	0.514892456
94	0.512957032
95	0.51137412
96	0.508706724
97	0.50852325
98	0.507816863
99	0.507534766
100	0.507375269
101	0.50722461
102	0.507149371
103	0.507064931
104	0.507104446
105	0.507036838
106	0.505580138
107	0.499793016
108	0.498585868
109	0.497576577
110	0.496779453
111	0.486903642
112	0.485679678
113	0.461759614
114	0.46023643
115	0.449990884
116	0.452444471
117	0.444765012
118	0.437508142
119	0.435686482
120	0.436840605
121	0.457002974
122	0.451363839
123	0.451851659
124	0.451873317
125	0.451854357
126	0.453521917
127	0.438506176
128	0.439523824
129	0.439967133
130	0.440364274
131	0.420199518
132	0.409684229
133	0.409752889
134	0.40699834
135	0.408219561
136	0.394997976
137	0.397791301
138	0.396868939
139	0.39544581
140	0.394603246
141	0.397572394
142	0.397169107
143	0.396888667
144	0.385025964
145	0.384918544
146	0.390567083
147	0.382128879
148	0.381228038
149	0.380930104
150	0.380724673
151	0.380228646
152	0.380089064
153	0.37946688
154	0.379102488
155	0.368623258
156	0.367677472
157	0.367420113
158	0.367221755
159	0.368626886
160	0.367991487
161	0.365285496
162	0.364831842
163	0.364035221
164	0.364087192
165	0.364719487
166	0.36458252
167	0.364339083
168	0.325370866
169	0.324895513
170	0.324699843
