Time	MAT_HOL	MAT_HOLplain	MAT_HOLmount	CMT_HOL	CMT_HOLplain	CMT_HOLmount	MAT_EURAS	MAT_EURASplain	MAT_EURASmount	MAT_NAM	MAT_NAMplain	MAT_NAMmount	MAT_AFR	MAT_AFRp	MAT_AFRm	MAT_SAM	MAT_SAMp	MAT_SAMm	CMT_EURAS	CMT_EURASplain	CMT_EURASmount	CMT_NAM	CMT_NAMplain	CMT_NAMmount	CMTAFR	CMTAFRplain	CMTAFRmount	CMTSAM	CMTSAMplain	CMTSAMmount
0	6.21	7.17	2.86	-9.27	-7.89	-14.08	6.27	7.24	2.86	0.89	1.27	-0.20	22.80	23.53	19.75	21.04	22.22	13.14	-9.13	-7.73	-14.08	-15.25	-16.06	-12.89	16.74	17.31	14.33	17.69	19.04	8.65
10	2.27	1.69	4.10	-13.64	-14.19	-11.90	2.32	1.75	4.10	-4.63	-4.78	-3.91	26.48	27.34	22.79	24.62	25.39	18.26	-13.55	-14.06	-11.90	-21.69	-22.60	-17.79	20.54	21.30	17.32	20.50	21.33	13.63
20	3.41	2.13	7.41	-10.99	-12.12	-7.42	3.43	2.17	7.41	-5.22	-6.65	5.18	27.18	27.38	22.29	24.58	25.70	14.03	-10.91	-12.01	-7.42	-22.11	-23.80	-9.95	21.11	21.29	16.61	20.56	21.69	9.90
30	5.21	4.75	6.71	-8.55	-9.20	-6.43	5.26	4.81	6.71	-3.58	4.56	3.06	26.79	27.62	21.99	24.49	25.26	17.85	-8.46	-9.07	-6.43	-19.84	-21.39	-9.51	21.20	22.22	15.25	20.10	20.97	12.57
40	10.57	10.89	9.03	-2.63	-2.38	3.83	10.59	10.90	9.04	1.83	1.87	1.49	30.60	30.80	25.13	28.56	29.20	22.10	-2.58	-2.32	-3.83	-15.33	-15.65	-11.52	25.42	25.70	17.61	23.65	24.41	15.97
50	17.14	17.39	15.66	5.67	6.20	2.55	17.09	17.35	15.49	7.98	7.51	10.81	31.48	31.56	27.79	30.08	30.94	24.16	5.65	6.19	2.38	-6.15	-7.04	-0.87	26.72	26.90	19.00	24.86	25.80	18.33
60	15.89	16.33	12.89	2.81	3.68	3.25	16.23	16.72	12.93	7.75	7.70	8.51	31.18	31.31	24.59	30.33	30.83	25.17	3.14	4.07	-3.22	-5.94	-6.19	-1.47	25.99	26.20	15.68	24.73	25.29	18.98
70	18.20	18.39	16.90	5.21	5.71	1.7	18.45	18.70	16.74	9.68	9.61	10.97	32.23	32.33	26.14	31.07	31.50	26.12	5.40	5.98	1.43	-4.19	-4.49	1.11	27.47	27.63	18.24	25.66	26.09	20.62
80	19.40	19.85	16.65	8.93	9.88	3.19	19.60	20.08	16.65	13.33	13.22	15.22	30.84	31.21	20.18	31.43	31.98	26.80	9.15	10.14	3.19	4.83	4.64	7.83	25.31	25.85	9.69	25.63	26.41	19.06
90	17.09	16.63	18.82	5.67	5.66	5.72	17.38	17.0	18.82	14.32	14.45	12.87	30.96	31.09	24.60	31.67	31.96	28.13	6.01	6.08	5.72	4.83	4.88	4.27	25.14	25.34	15.80	24.73	25.23	18.63
100	13.37	14.18	10.87	1.68	2.88	-1.98	14.45	14.45	14.46	11.96	13.84	4.97	30.75	30.84	27.21	31.18	31.41	26.37	2.27	2.91	0.40	0.87	2.63	-5.73	25.12	25.31	18.09	23.84	24.06	19.08
