Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-442.569109963668	3	2	1
200	-459.578002180199	5	1	1
300	-447.261524451158	3	2	2
400	-451.904244456958	4	3	1
500	-447.902672750195	5	2	1
600	-440.279053789165	3	1	1
700	-458.951877081054	5	4	2
800	-450.100608209501	3	2	2
900	-452.633638791815	5	3	1
1000	-443.205747600879	3	4	1
1100	-449.712004986854	3	4	3
1200	-451.906442422075	5	1	1
1300	-446.09563144539	3	1	3
1400	-447.832588397642	3	2	1
1500	-447.692466149301	3	3	1
1600	-445.4809089154	3	2	1
1700	-450.556428066801	3	2	1
1800	-450.555947737248	5	2	2
1900	-443.505824649648	4	2	0
2000	-442.906929930463	4	1	1
2100	-446.56483216016	5	1	0
2200	-442.893673524121	3	1	1
2300	-449.726871814358	5	2	2
2400	-440.846990857962	4	1	0
2500	-459.306010759969	6	2	3
2600	-464.424003677492	7	1	0
2700	-451.221726172617	3	2	0
2800	-456.466765398498	3	3	2
2900	-448.940103778676	3	3	0
3000	-456.605399389864	4	2	0
3100	-455.710081293774	3	3	2
3200	-444.73743159489	4	1	1
3300	-446.677894721013	5	2	1
3400	-451.239929793909	4	1	0
3500	-452.765887698686	5	1	0
3600	-444.444505005898	3	2	2
3700	-448.38446605609	4	1	1
3800	-447.526175077123	4	2	0
3900	-440.58334456005	4	3	0
4000	-452.233034340725	5	1	0
4100	-452.787597214381	4	2	1
4200	-445.582458438528	4	2	0
4300	-458.294538337543	6	2	2
4400	-448.661390818719	4	2	1
4500	-450.700739000768	3	3	1
4600	-459.376556010846	3	5	1
4700	-447.761227545392	4	1	2
4800	-448.274924723518	3	2	1
4900	-450.397785848002	4	1	0
5000	-443.619517876586	4	1	0
5100	-451.411662041372	5	1	1
5200	-442.669249058432	4	2	0
5300	-448.77973974896	5	2	1
5400	-443.156128933446	4	2	0
5500	-454.231058172556	3	3	2
5600	-449.171365695885	3	3	0
5700	-447.18843902678	3	2	1
5800	-460.806051091369	5	3	0
5900	-443.068459702489	4	2	0
6000	-445.552000708999	4	2	1
6100	-441.978268689065	4	2	1
6200	-443.116343980308	4	1	0
6300	-444.979193768816	4	1	0
6400	-452.178043231974	6	2	0
6500	-450.929221733249	3	2	0
6600	-448.205755237158	3	1	0
6700	-443.340706507837	4	1	0
